,Unnamed: 0,name,gender,age,zipCode,format,yearsOfExperience,phone,warehouse,style,skillRating,email,password,onlineStatus,matchStatus
0,0,carmenanderson,female,28,95035,sm,5,7344408208,1,aggressive,1927.007709554819,carmenanderson@sjsu.edu,Reo5gxD42,True,True
1,1,timothymoody,male,32,95051,s,1,5797734355,3,defensive,2081.482676684944,timothymoody@sjsu.edu,wt2chxjnEwMq7x,False,False
2,2,jamesharris,male,25,95008,d,3,4410426420,2,aggressive,1350.977890985305,jamesharris@sjsu.edu,mVUH2QLVJvzLVJP,True,False
3,3,shelleyfoster,female,11,94568,m,0,1424528484,3,aggressive,1726.952115732011,shelleyfoster@sjsu.edu,ISPsYcf1LXiqOM9f,False,False
4,4,eugenecullars,male,27,95035,sd,6,3960724209,0,aggressive,1930.1832366305523,eugenecullars@sjsu.edu,FI9MAeHwUC,False,False
5,5,maryjones,female,30,94539,sdm,3,956747491,3,neutral,1078.9335609920504,maryjones@sjsu.edu,6TAgnvYFoqEJHm,True,True
6,6,kellystrode,female,23,94539,sd,5,7581138252,5,defensive,1079.480606010511,kellystrode@sjsu.edu,gE9ayGWbBS67XDR7,True,True
7,7,rustyrichardson,male,31,94568,sm,4,9821278931,5,defensive,1016.4015547630172,rustyrichardson@sjsu.edu,Uq7K4AmggSCIq5,False,False
8,8,bessiecarter,female,19,94568,d,5,5503534395,5,defensive,1568.7316641399009,bessiecarter@sjsu.edu,3nEvgvPVnIs,True,False
9,9,alanwright,male,40,95008,dm,10,3014605756,0,defensive,1476.8249025879002,alanwright@sjsu.edu,jPHSjPOL16RzH,False,False
10,10,josephgreen,male,32,94568,sm,3,7623757464,4,aggressive,1385.4516859950756,josephgreen@sjsu.edu,olF7C7rYAE7IcyAR,False,False
11,11,cheryldunham,female,22,95035,sdm,4,9301887867,0,neutral,1136.0757300178454,cheryldunham@sjsu.edu,HnMw1y8gb,False,False
12,12,joeymorris,male,24,94568,sdm,6,6259048706,0,neutral,917.4545670947844,joeymorris@sjsu.edu,oooxJOyYDrdjjn,False,False
13,13,tracyramirez,male,24,95008,m,6,3699489796,1,neutral,1713.2489217546236,tracyramirez@sjsu.edu,VEnIjGp1yb4TUlQu,False,False
14,14,josefriedlander,male,17,95035,d,2,9887043397,0,aggressive,1495.1699628358413,josefriedlander@sjsu.edu,WZ9nBs3KY1,False,False
15,15,albertmcallister,male,27,95051,s,2,3340894643,3,defensive,1553.2757745741767,albertmcallister@sjsu.edu,cCfFmvuojpYSoVk,False,False
16,16,edwardhernandez,male,30,95035,d,1,8329912360,5,aggressive,1139.9008709555806,edwardhernandez@sjsu.edu,ESKUpAQa9t,False,False
17,17,helenbishop,female,39,95035,d,12,3628105927,4,defensive,1349.2178318995773,helenbishop@sjsu.edu,e66l5yQsaqq,False,False
18,18,kirkclement,male,29,94538,dm,0,1269181105,2,neutral,1716.7540502524987,kirkclement@sjsu.edu,NVnaZiqWNsuSZXAs,True,True
19,19,danielnash,male,34,95008,s,1,1255644041,0,neutral,1378.815220270395,danielnash@sjsu.edu,bk5tybMeuV9xAb,False,False
20,20,brandontorres,male,32,95051,s,1,6924686213,1,aggressive,1127.5601707265014,brandontorres@sjsu.edu,NqkoTH65iev,True,True
21,21,georginaviars,female,29,94568,d,8,1282399524,5,defensive,1081.7904796853836,georginaviars@sjsu.edu,DQCMQV8mHYQ,True,False
22,22,charlottepayne,female,22,94539,dm,2,2177291460,0,defensive,1531.953093658313,charlottepayne@sjsu.edu,sd5PgD8BiogE,True,False
23,23,richardkelley,male,29,94539,sd,7,9701807330,6,neutral,1267.7903983257534,richardkelley@sjsu.edu,kjKuVG0di4mjV,True,False
