,id,name,gender,age,zip,format,yoe,phone,warehouse,style,rating,matches,status
0,0,"['Carmen', 'Anderson']",female,28,95035,sm,5,7344408208,1,aggressive,1927.007709554819,{},False
1,1,"['Timothy', 'Moody']",male,32,95051,s,1,5797734355,3,defensive,2081.4826766849437,{},False
2,2,"['James', 'Harris']",male,25,95008,d,3,4410426420,2,aggressive,1350.977890985305,{},False
3,3,"['Shelley', 'Foster']",female,11,94568,m,0,1424528484,3,aggressive,1726.952115732011,{},False
4,4,"['Eugene', 'Cullars']",male,27,95035,sd,6,3960724209,0,aggressive,1930.1832366305523,{},False
5,5,"['Mary', 'Jones']",female,30,94539,sdm,3,0956747491,3,neutral,1078.9335609920504,{},False
6,6,"['Kelly', 'Strode']",female,23,94539,sd,5,7581138252,5,defensive,1079.480606010511,{},True
7,7,"['Rusty', 'Richardson']",male,31,94568,sm,4,9821278931,5,defensive,1016.4015547630172,{},False
8,8,"['Bessie', 'Carter']",female,19,94568,d,5,5503534395,5,defensive,1568.7316641399009,{},False
9,9,"['Alan', 'Wright']",male,40,95008,dm,10,3014605756,0,defensive,1476.8249025879002,{},False
10,10,"['Joseph', 'Green']",male,32,94568,sm,3,7623757464,4,aggressive,1385.4516859950756,{},True
11,11,"['Cheryl', 'Dunham']",female,22,95035,sdm,4,9301887867,0,neutral,1136.0757300178454,{},False
12,12,"['Joey', 'Morris']",male,24,94568,sdm,6,6259048706,0,neutral,917.4545670947845,{},False
13,13,"['Tracy', 'Ramirez']",male,24,95008,m,6,3699489796,1,neutral,1713.2489217546236,{},False
14,14,"['Jose', 'Friedlander']",male,17,95035,d,2,9887043397,0,aggressive,1495.1699628358413,{},True
15,15,"['Albert', 'Mcallister']",male,27,95051,s,2,3340894643,3,defensive,1553.2757745741767,{},False
16,16,"['Edward', 'Hernandez']",male,30,95035,d,1,8329912360,5,aggressive,1139.9008709555806,{},False
17,17,"['Helen', 'Bishop']",female,39,95035,d,12,3628105927,4,defensive,1349.2178318995773,{},False
18,18,"['Kirk', 'Clement']",male,29,94538,dm,0,1269181105,2,neutral,1716.7540502524987,{},True
19,19,"['Daniel', 'Nash']",male,34,95008,s,1,1255644041,0,neutral,1378.815220270395,{},False
20,20,"['Brandon', 'Torres']",male,32,95051,s,1,6924686213,1,aggressive,1127.5601707265014,{},True
21,21,"['Georgina', 'Viars']",female,29,94568,d,8,1282399524,5,defensive,1081.7904796853836,{},False
22,22,"['Charlotte', 'Payne']",female,22,94539,dm,2,2177291460,0,defensive,1531.953093658313,{},False
23,23,"['Richard', 'Kelley']",male,29,94539,sd,7,9701807330,6,neutral,1267.7903983257534,{},False
24,24,"['Warren', 'Steffens']",male,25,95035,d,4,0298736849,5,defensive,1817.2766967638772,{},False
25,25,"['Joyce', 'Khalil']",female,28,95051,d,8,9167629787,2,defensive,1759.5208888176412,{},False
26,26,"['Keith', 'Powell']",male,17,94568,sd,2,1506816254,3,defensive,1597.5739008175256,{},False
27,27,"['Teresa', 'Silva']",female,42,95035,sdm,2,3467852124,5,aggressive,1450.2541638265611,{},False
28,28,"['Michael', 'Kiefer']",male,30,95008,sm,4,3637077357,3,defensive,1171.1353671994825,{},False
29,29,"['Mark', 'Oliver']",male,23,94568,s,5,6349041203,1,aggressive,1685.94194469661,{},True
30,30,"['Deborah', 'Tarver']",female,28,95035,d,5,9330695350,2,neutral,1425.500357687909,{},False
31,31,"['Loren', 'Bueter']",male,32,95035,sm,1,4588131621,4,aggressive,1994.4248078265578,{},True
32,32,"['Maria', 'Pierce']",female,24,95035,sm,1,8460073309,2,neutral,1565.7053248442505,{},False
33,33,"['Julie', 'Sandiford']",female,27,95035,m,2,4802348086,2,aggressive,1588.9721121303105,{},False
34,34,"['Herlinda', 'Graziani']",female,33,94539,m,4,8511205784,1,defensive,1844.270651190268,{},False
35,35,"['James', 'Swisher']",male,25,94539,m,2,5439061355,3,defensive,1734.7162575883592,{},False
36,36,"['Gregory', 'Christianson']",male,22,94539,dm,5,6891512352,0,aggressive,1158.7956500964224,{},False
37,37,"['Paul', 'Wilson']",male,25,94568,d,5,1602935280,3,neutral,1607.2778092961967,{},False
38,38,"['Roy', 'Ortiz']",male,35,95035,d,1,9515914361,5,defensive,1132.8512417318843,{},False
39,39,"['Johnny', 'See']",male,15,94538,sm,1,5129620459,3,aggressive,1724.3682900040321,{},False
40,40,"['Brandi', 'Bjork']",female,30,95051,s,1,6354798024,3,defensive,889.7723132591123,{},False
41,41,"['James', 'Merrick']",male,23,95035,m,0,3597569924,2,neutral,1161.8869957851523,{},True
42,42,"['Tomas', 'Dalton']",male,31,95035,sm,8,1052192299,1,neutral,1882.656537290481,{},False
43,43,"['Emily', 'Carlson']",female,27,94568,s,6,9123939665,4,neutral,1542.8228069138188,{},False
44,44,"['Richard', 'Mccloud']",male,38,94568,d,1,2848996622,0,neutral,1403.8805954091793,{},False
45,45,"['Marty', 'Vogel']",female,34,94539,m,6,4759672288,2,neutral,1299.827489310345,{},False
46,46,"['Sam', 'Grant']",male,35,95035,sdm,4,5527478315,2,defensive,1728.0388870761071,{},False
47,47,"['Olivia', 'Schroeder']",female,32,94538,sd,8,7733137893,2,neutral,1749.2679118488466,{},False
48,48,"['Patricia', 'Johnson']",female,29,95035,sdm,6,7475658181,1,aggressive,1110.2406191286339,{},False
49,49,"['Mary', 'Dorsette']",female,36,95008,m,10,8380229725,1,aggressive,1493.7360006330211,{},False
